"name","version","symbolicName"
"System Bundle","7.0.5","org.apache.felix.framework"
"Abdera Client","1.1.3","org.apache.abdera.client"
"Abdera Core","1.1.3","org.apache.abdera.core"
"Abdera Extensions - Media","1.1.3","org.apache.abdera.extensions-media"
"Abdera Extensions - OpenSearch","1.1.3","org.apache.abdera.extensions-opensearch"
"Abdera Server","1.1.3","org.apache.abdera.server"
"Adaptive Forms Core API","6.1.10","com.adobe.aemds.guide.aemds-guide-core"
"Adaptive Forms Core Implementation","6.1.10","com.adobe.aemds.guide.aemds-guide-core-impl"
"Adobe - XMPFiles Worker host","1.0.8","com.adobe.xmp.worker.files.host"
"Adobe - XMPFiles Worker platform fragment linux","1.0.10","com.adobe.xmp.worker.files.native.fragment.linux"
"Adobe - XMPFiles Worker platform fragment macosx","1.0.10","com.adobe.xmp.worker.files.native.fragment.macosx"
"Adobe - XMPFiles Worker platform fragment win","1.0.10","com.adobe.xmp.worker.files.native.fragment.win"
"Adobe :: SuiteTech :: Nativecomm","2.0.8","com.adobe.suitetech.nativecomm"
"Adobe AEM - SEO","1.0.10","com.adobe.cq.wcm.com.adobe.aem.wcm.seo"
"Adobe AEM - SEO Implementation","1.0.14","com.adobe.cq.wcm.com.adobe.aem.wcm.seo.impl"
"Adobe AEM - WCM Asynchronous Jobs support","1.0.46","com.adobe.cq.wcm.com.adobe.cq.wcm.jobs.async"
"Adobe AEM Configuration Updater","4.0.6","com.day.cq.cq-compat-configupdate"
"Adobe AEM Deserialization Firewall","1.0.24.CQ650-B0001","com.adobe.cq.cq-deserialization-firewall"
"Adobe AEM Script Injector","1.17.2","com.adobe.granite.webvitals65"
"Adobe Brand Portal Cloudservice configuration","0.1.0.V660-B0002","com.adobe.bp.bp-cloudservice"
"Adobe Communique 5 Dashboards","5.9.2","com.adobe.cq.cq-dashboards"
"Adobe Communique 5 History","5.12.4","com.adobe.cq.cq-history"
"Adobe Communique 5 Launches API","5.12.8","com.adobe.cq.cq-launches-api"
"Adobe Communique 5 Scheduled Exporter","5.11.2","com.adobe.cq.cq-scheduled-exporter"
"Adobe Communique 5 Upgrades Executor","2.0.12","com.day.cq.cq-upgrades-executor"
"Adobe Communique 5 WCM Launches Core","5.13.66","com.adobe.cq.wcm.cq-wcm-launches-core"
"Adobe CQ - DTM Integration Bundle","0.5.12.V660-B0001","com.adobe.cq.cq-dtm"
"Adobe CQ Account Management","1.3.4","com.adobe.cq.cq-account"
"Adobe CQ Activation DTM Core Bundle","1.1.26.V660-B0001","com.adobe.cq.dtm-reactor.core"
"Adobe CQ Activation DTM UI Bundle","1.1.2.V660-B0001","com.adobe.cq.dtm-reactor.ui"
"Adobe CQ Cloud Config Components Bundle","1.1.2","com.adobe.cq.cloud-config.components"
"Adobe CQ Cloud Config Core Bundle","1.1.2","com.adobe.cq.cloud-config.core"
"Adobe CQ Cloud Config UI Bundle","1.1.4","com.adobe.cq.cloud-config.ui"
"Adobe CQ Content Insight and Recommendations","1.5.10.V660-B0001","com.adobe.cq.cq-content-insight"
"Adobe CQ ContextHub Commons","1.1.6","com.adobe.cq.cq-contexthub-commons"
"Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler","0.4.18","com.adobe.cq.dam.cq-dam-svg-handler"
"Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle","1.5.16.V660-B0004","com.adobe.cq.cq-dam-mac-sync"
"Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper","1.5.40","com.adobe.cq.cq-dam-mac-sync-helper"
"Adobe CQ DAM - Index Builder","1.4.6","com.adobe.cq.cq-dam-index-builder"
"Adobe CQ DAM annotation print implementation","0.2.10","com.day.cq.dam.cq-dam-annotation-print"
"Adobe CQ DAM Delivery API","1.3.0.V660-B0002","com.adobe.cq.dam.cq-delivery-api"
"Adobe CQ DAM Delivery Internal API","1.3.0.V660-B0002","com.adobe.cq.dam.cq-delivery-internal-api"
"Adobe CQ DAM Entitlement Implementation","1.3.40","com.day.cq.dam.cq-dam-entitlement"
"Adobe CQ DAM Scene7 Dynamic Imaging","1.6.66.V660-B0010","com.adobe.cq.dam.cq-scene7-imaging"
"Adobe CQ DAM Stock Integration","1.2.8.V660-B0004","com.day.cq.dam.cq-dam-stock-integration"
"Adobe CQ Experience Log Client Bundle","1.4.20","com.adobe.cq.cq-experiencelog"
"Adobe CQ Graphics Rendering API","1.5.8","com.adobe.cq.cq-gfx"
"Adobe CQ JSON Exporter","0.2.8","com.adobe.cq.export.json"
"Adobe CQ JSON Exporter Implementation","0.2.12","com.adobe.cq.export.json.impl"
"Adobe CQ Nui API","1.0.12","com.adobe.cq.dam.cq-dam-processor-api"
"Adobe CQ Nui Bundle","1.0.14","com.adobe.cq.dam.cq-dam-processor-nui"
"Adobe CQ Remote DAM API Bundle","0.8.18","com.adobe.cq.remotedam.cq-remotedam-api"
"Adobe CQ Remote Dam Client Core Bundle","1.0.62","com.adobe.cq.remotedam.cq-remotedam-client-core"
"Adobe CQ Remote DAM Commons Bundle","0.0.20","com.adobe.cq.remotedam.cq-remotedam-commons"
"Adobe CQ Remote DAM Server Core","1.1.46","com.adobe.cq.remotedam.cq-remotedam-server-core"
"Adobe CQ REST API Sites","1.2.2","com.adobe.cq.cq-rest-sites"
"Adobe CQ Search Extension","1.3.14","com.day.cq.cq-search-ext"
"Adobe CQ Search QueryBuilder","5.12.28","com.day.cq.cq-search"
"Adobe CQ Search Suggestions","5.12.2","com.day.cq.cq-search-suggest"
"Adobe CQ Security Health Checks","1.5.8","com.adobe.cq.cq-security-hc"
"Adobe CQ Translation Workflow","1.5.172","com.day.cq.wcm.cq-wcm-translation"
"Adobe CQ WCM Foundation Components","5.12.76","com.day.cq.wcm.cq-wcm-foundation"
"Adobe CQ WCM Scripting Support","1.1.10","com.day.cq.wcm.cq-wcm-scripting-support"
"Adobe DAM InDesign Print","0.4.12","com.day.cq.dam.adobe-dam-idsprint"
"Adobe DAM WebDAV Support","1.4.8","com.day.cq.dam.dam-webdav-support"
"Adobe Day Commons Library - Input/Output Support","1.1.10","day-commons-io"
"Adobe Experience Manager Command Implementation","1.1.40","com.day.cq.wcm.cq-command"
"Adobe Experience Manager GraphQL for Content Fragments","0.0.1.V660-B0042","cq-dam-cfm-graphql"
"Adobe Experience Manager GraphQL for Sites - API","0.0.1.V660-B0010","com.adobe.aem.graphql.sites-api"
"Adobe Experience Manager GraphQL for Sites - Base Module","0.0.1.V660-B0024","com.adobe.aem.graphql.sites-base"
"Adobe Experience Manager GraphQL Java Wrapper","0.0.1.V660-B0018","com.adobe.aem.com.adobe.aem.graphql-java-wrapper"
"Adobe Experience Manager GraphQL Sling Adapter","0.0.1.V660-B0012","com.adobe.aem.graphql.sling-adapter"
"Adobe Experience Manager HTL Extension","1.7.10","com.adobe.cq.sightly.cq-wcm-sightly-extension"
"Adobe FO Markup Layout Library","3.0.628531","afml"
"Adobe Font Engine","3.0.630138","afe"
"Adobe FormsPortal Services Bundle","8.1.2","com.adobe.livecycle.formsportal-bundle"
"Adobe GLobalization Library(Min)","1.8.2","AGL_min"
"Adobe Granite - SAML 2.0 Authentication Handler","1.0.59.V660-B0006","com.adobe.granite.auth.saml"
"Adobe Granite - SAML 2.0 Authentication Handler Dynamic Group Migration Hook","0.0.8","com.adobe.granite.auth.saml.migration"
"Adobe Granite ACP Platform","0.3.38","com.adobe.granite.acp.platform"
"Adobe Granite Activity Streams","0.0.46","com.adobe.granite.activitystreams"
"Adobe Granite Asset API","2.0.12","com.adobe.granite.asset.api"
"Adobe Granite Asset API Implementation","2.2.64.V660-B0002","com.adobe.granite.asset.core"
"Adobe Granite Async Jobs","1.0.36","com.adobe.granite.jobs.async"
