"name","version","downloadName"
"adobeims.content","1.1.8-V660-B0001","adobeims.content-1.1.8-V660-B0001.zip"
"cloud-config.components.content","1.1.2","cloud-config.components.content-1.1.2.zip"
"cloud-config.core.content","1.1.2","cloud-config.core.content-1.1.2.zip"
"cloud-config.ui.content","1.1.4","cloud-config.ui.content-1.1.4.zip"
"cq-contexthub-content","1.1.30","cq-contexthub-content-1.1.30.zip"
"cq-experiencelog-content","1.5.18-V660-B0002","cq-experiencelog-content-1.5.18-V660-B0002.zip"
"dtm-reactor.content","1.1.16-V660-B0002","dtm-reactor.content-1.1.16-V660-B0002.zip"
"cq-remotedam-client-ui-components","1.0.36","cq-remotedam-client-ui-components-1.0.36.zip"
"cq-remotedam-client-ui-content","1.0.34","cq-remotedam-client-ui-content-1.0.34.zip"
"cq-remotedam-server-content","1.0.28","cq-remotedam-server-content-1.0.28.zip"
"com.adobe.coralui.rte-cq5","5.12.8","com.adobe.coralui.rte-cq5-5.12.8.zip"
"com.adobe.granite.activitystreams.content","0.0.46","com.adobe.granite.activitystreams.content-0.0.46.zip"
"com.adobe.granite.asset.content","1.8","com.adobe.granite.asset.content-1.8.zip"
"com.adobe.granite.auth.users","0.0.22","com.adobe.granite.auth.users-0.0.22.zip"
"com.adobe.granite.author.deviceemulator.content","0.0.12","com.adobe.granite.author.deviceemulator.content-0.0.12.zip"
"com.adobe.granite.backup.content","0.0.78","com.adobe.granite.backup.content-0.0.78.zip"
"com.adobe.granite.cloudsettings.content","1.3.17-V660-B0001","com.adobe.granite.cloudsettings.content-1.3.17-V660-B0001.zip"
"com.adobe.granite.cluster.content","0.0.44","com.adobe.granite.cluster.content-0.0.44.zip"
"com.adobe.granite.conf.ui.content","0.0.72","com.adobe.granite.conf.ui.content-0.0.72.zip"
"com.adobe.granite.contexthub.content","1.1.4-B002","com.adobe.granite.contexthub.content-1.1.4-B002.zip"
"com.adobe.granite.crypto.content","0.0.10","com.adobe.granite.crypto.content-0.0.10.zip"
"com.adobe.granite.csrf.content","0.0.12","com.adobe.granite.csrf.content-0.0.12.zip"
"com.adobe.granite.datavisualization.content","1.60-V660-B0002","com.adobe.granite.datavisualization.content-1.60-V660-B0002.zip"
"com.adobe.granite.distribution.content","0.0.125-V660-B0002","com.adobe.granite.distribution.content-0.0.125-V660-B0002.zip"
"com.adobe.granite.jobs.async.ui.content","1.0.34","com.adobe.granite.jobs.async.ui.content-1.0.34.zip"
"com.adobe.granite.monitoring.content","1.0.30","com.adobe.granite.monitoring.content-1.0.30.zip"
"com.adobe.granite.monitoring.dashboard","1.5.259-V660-B0010","com.adobe.granite.monitoring.dashboard-1.5.259-V660-B0010.zip"
"com.adobe.granite.oauth.server.content","1.0.54-V660-B0002","com.adobe.granite.oauth.server.content-1.0.54-V660-B0002.zip"
"com.adobe.granite.offloading.content","1.1.66-V660-B0002","com.adobe.granite.offloading.content-1.1.66-V660-B0002.zip"
"com.adobe.granite.omnisearch.content","1.0.34","com.adobe.granite.omnisearch.content-1.0.34.zip"
"com.adobe.granite.platform.clientlibs","2.3.1-V660-B0016","com.adobe.granite.platform.clientlibs-2.3.1-V660-B0016.zip"
"com.adobe.granite.platform.content","1.0.40-V660-B0004","com.adobe.granite.platform.content-1.0.40-V660-B0004.zip"
"com.adobe.granite.platform.i18n","1.1.266-V660-B0002","com.adobe.granite.platform.i18n-1.1.266-V660-B0002.zip"
"com.adobe.granite.platform.login","1.1.38-V660-B0002","com.adobe.granite.platform.login-1.1.38-V660-B0002.zip"
"com.adobe.granite.platform.users","1.1.50","com.adobe.granite.platform.users-1.1.50.zip"
"com.adobe.granite.platform.welcome","1.1.26-V660-B0002","com.adobe.granite.platform.welcome-1.1.26-V660-B0002.zip"
"com.adobe.granite.references.content","1.1.36-V660-B0010","com.adobe.granite.references.content-1.1.36-V660-B0010.zip"
"com.adobe.granite.replication.content","1.0.41-V660-B0002","com.adobe.granite.replication.content-1.0.41-V660-B0002.zip"
"com.adobe.granite.security.content","0.2.407-V660-B0010","com.adobe.granite.security.content-0.2.407-V660-B0010.zip"
"com.adobe.granite.security.permissions.ui.content","0.0.34","com.adobe.granite.security.permissions.ui.content-0.0.34.zip"
"com.adobe.granite.sightly.content","1.0.10","com.adobe.granite.sightly.content-1.0.10.zip"
"com.adobe.granite.sightly.js.content","1.0.14","com.adobe.granite.sightly.js.content-1.0.14.zip"
"com.adobe.granite.taskmanagement.content","1.0.20-V660-B0001","com.adobe.granite.taskmanagement.content-1.0.20-V660-B0001.zip"
"com.adobe.granite.testing.hobbes.content","1.0.134","com.adobe.granite.testing.hobbes.content-1.0.134.zip"
"com.adobe.granite.topology.content","1.1.48","com.adobe.granite.topology.content-1.1.48.zip"
"com.adobe.granite.translation.connector.msft.content","1.2.8","com.adobe.granite.translation.connector.msft.content-1.2.8.zip"
"com.adobe.granite.translation.content","1.1.23-V660-B0002","com.adobe.granite.translation.content-1.1.23-V660-B0002.zip"
"com.adobe.granite.ui.clientlibs.content","1.0.10","com.adobe.granite.ui.clientlibs.content-1.0.10.zip"
"com.adobe.granite.ui.content","0.8.870-V660-B0070","com.adobe.granite.ui.content-0.8.870-V660-B0070.zip"
